id,created_at,clean_text,polarity,subjectivity,lang,followers_count,friends_count,favourites_count
1405948325665415172,2021-06-18 17:59:36+00:00,"rt  rid1tweets  17 june 2021   covid19 in south africa 🇿🇦

daily test positivity rate at 22 6  today  that s a positive test for every 4 5…",0.11363636363636363,0.2727272727272727,en,1070,666,2739
1405948337530884099,2021-06-18 17:59:39+00:00,rt  wef  study  most people support sharing vaccines with other countries    covid19  vaccines  ,0.1875,0.4375,en,57,759,184
1405948351179276297,2021-06-18 17:59:42+00:00,"rt  vaxhunterscan   mb  ☀️ winnipeg ☀️ 
available mrna vaccines 
📍 scurfield pharmacy  100 201 scurfield blvd 
📞 204 306 4459
💻  …",-0.125,0.7,en,984,1382,114454
1405948425909280776,2021-06-18 18:00:00+00:00,"🇨🇦🛂💉🇺🇸

concerns over whether astrazeneca recipients will be limited in travel to the u s   …  ",-0.07142857142857142,0.14285714285714285,en,3165,2112,4598
1405948431621894147,2021-06-18 18:00:02+00:00,"phac webinar for health care providers  covid 19 variants and vaccines  
june 23  2021   12 00pm 1 00 pm edt
regist…  ",0.0,0.0,en,759,259,605
1405948432406106118,2021-06-18 18:00:02+00:00,"rt  empoweringerode  karur district   tomorrow s  19 06 2021  vaccination camps

 karur  covid19  tamilnadu  karurdistrict  karurcovid  vac…",0.0,0.0,en,32,476,23207
1405948433228189702,2021-06-18 18:00:02+00:00,"vaccines bring us together 

keep your friends family safe from  covid19  seattlefire  amp   seapubschools are hosting…  ",0.5,0.5,en,880,211,65
1405948433865887746,2021-06-18 18:00:02+00:00,patients with immune mediated inflammatory diseases receiving background methotrexate have worse humoral and cellul…  ,-0.4,0.6,en,505,161,494
1405948435459682304,2021-06-18 18:00:02+00:00,rt  kalainh  as of june 17th  t amp t has administered 201 313 doses of a who approved  covid19 vaccine  the country has approximately 56  of a…,-0.4,0.6,en,1318,626,49176
1405948464995971074,2021-06-18 18:00:09+00:00,rt  albalaghacademy  join us in al balagh 2nd international conference on fiqh of medicine  amp  learn about the islamic approach to covid19 va…,0.0,0.0,en,7179,5244,2579
1405948499653541890,2021-06-18 18:00:18+00:00,follow  aarc tweets   hcollaborative  amp   looms4lupus to keep up with the work these partners are doing to help the…  ,0.0,0.0,en,312,401,304
1405948554116354051,2021-06-18 18:00:31+00:00,rt  israelmfa  israel will deliver more than a million doses of  covid19 vaccines to the palestinian authority to help it fight the corona…,0.5,0.5,en,2675,4924,112453
1405948578900623368,2021-06-18 18:00:37+00:00,rt  globalhlthtwit  dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate re…,0.13333333333333333,0.45555555555555555,en,39,187,1185
1405948597045190657,2021-06-18 18:00:41+00:00," covid19 may be new  but the covid 19 vaccines are built on trusted work that goes back decades   

covid 19 vaccin…  ",0.06818181818181818,0.22727272727272727,en,7520,838,5196
1405948598769098758,2021-06-18 18:00:41+00:00,i m officially  fullyvaccinated  vaccines are key to ending the pandemic  amp  getting back to all of our favourite peo…  ,0.0,0.5,en,5106,282,118
1405948628829491204,2021-06-18 18:00:49+00:00,rt  jillianhortonmd  that s great  but there are now  zero  appointments available within a 6 hour driving radius of winnipeg for anyone wh…,0.6000000000000001,0.575,en,20,37,4070
1405948676468531202,2021-06-18 18:01:00+00:00,rt  cdcgov  you can get a  covid19 vaccine and other vaccines  including flu and shingles  at the same visit  you no longer need to wait 14…,-0.0625,0.25,en,64,230,1
1405948703173656582,2021-06-18 18:01:06+00:00,rt  kalainh  as of june 17th  t amp t has administered 201 313 doses of a who approved  covid19 vaccine  the country has approximately 56  of a…,-0.4,0.6,en,640,198,9935
1405948711058935809,2021-06-18 18:01:08+00:00,rt  jillianhortonmd  that s great  but there are now  zero  appointments available within a 6 hour driving radius of winnipeg for anyone wh…,0.6000000000000001,0.575,en,165,302,16040
1405948714296950784,2021-06-18 18:01:09+00:00,covid live  delta variant becoming globally dominant  who says as expert calls africa’s case trajectory ‘very  very…  ,0.1965909090909091,0.41250000000000003,en,93,626,38546
1405948761524817924,2021-06-18 18:01:20+00:00,"rt  quizzicalgirl  please do your research first if you read or see something about vaccines or  covid19 that sounds unusual 

spreading di…",0.225,0.6666666666666666,en,13303,12983,134200
1405948784220139521,2021-06-18 18:01:26+00:00,rt  drericding  13  similar  deltavariant worries from a 🇨🇦 hospital— ➡️outbreak even w  2 dose of mrna vaccines—16 patients  amp  6 hcws  delt…,0.0,0.4,en,84,88,157
1405948821302095876,2021-06-18 18:01:34+00:00,"rt  cityam  astrazeneca claims victory over eu in vaccine deliveries case  but will be fined for late supplies 

the eu has lost its case a…",-0.3,0.6,en,2242,4999,93210
1405948821683654656,2021-06-18 18:01:35+00:00,"rt  dailysabah  israel to lend palestine 1 million doses of soon to expire  covid19 vaccines
 ",0.0,0.0,en,367,2518,4414
1405948825047609348,2021-06-18 18:01:35+00:00,rt  mediccgail  biocubafarma says phase 3 clinical trial results for  cuban  covid19  vaccines are due out in a few days  soberana02  with…,-0.1625,0.2375,en,2045,3216,35501
1405948849869385728,2021-06-18 18:01:41+00:00,"pin code  411038  
bsm deenanath hosp pvt pmc
vaccines  covishield 
min age limit   18 45  
dose1 capacity  1223 7 …  ",-0.75,1.0,en,88,0,0
1405948849953275906,2021-06-18 18:01:41+00:00,"pin code  411004  
bmcc deenanath hospital pvt
vaccines  covishield 
min age limit   18 45  
dose1 capacity  673 30…  ",-0.75,1.0,en,88,0,0
1405948849861001219,2021-06-18 18:01:41+00:00,"pin code  411030  
poona hospital pmc p
vaccines  covishield 
min age limit   18  
dose1 capacity  24 
dose2 capaci…  ",-0.75,1.0,en,88,0,0
1405948849957445632,2021-06-18 18:01:41+00:00,"pin code  411027  
district hospital aundh
vaccines  covaxin 
min age limit   18 45  
dose1 capacity  0 
dose2 capa…  ",-0.75,1.0,en,88,0,0
1405949007747182593,2021-06-18 18:02:19+00:00,rt  themojostory  as per reports   israel prime minister   pm   naftalibennett said that israel will provide million  covid19  vaccine dose…,0.0,0.0,en,468,381,259251
1405949018824495104,2021-06-18 18:02:22+00:00,18 june 2022 latest number of  covid19 statistics in south africa  coronavirussa                               ,0.5,0.9,en,304613,1373,894
1405949024516116488,2021-06-18 18:02:23+00:00,rt  kalainh  as of june 17th  t amp t has administered 201 313 doses of a who approved  covid19 vaccine  the country has approximately 56  of a…,-0.4,0.6,en,267,357,26108
